"File","Line","Function","Case","TargetModes","Strings","Risk","RiskReasons","Evidence"
"src\act.informative.c","237","show_obj_to_char","SHOW_OBJ_LONG","","","READ_OR_UNKNOWN","","  case SHOW_OBJ_LONG:
    /* Hide objects starting with . from non-holylighted people. - Elaseth */
    if (*obj->description == '.' && (IS_NPC(ch) || !PRF_FLAGGED(ch, PRF_HOLYLIGHT)))
      return;"
"src\act.informative.c","257","show_obj_to_char","SHOW_OBJ_SHORT","","%s[%d] | [T%d] | [TRIGS] | %s | %s%s","READ_OR_UNKNOWN","","  case SHOW_OBJ_SHORT:
    if (!IS_NPC(ch) && PRF_FLAGGED(ch, PRF_SHOWVNUMS)) {
      send_to_char(ch, ""%s[%d] "", CCYEL(ch, C_NRM), GET_OBJ_VNUM(obj));
      if (SCRIPT(obj)) {
        if (!TRIGGERS(SCRIPT(obj))->next)
          send_to_char(ch, ""[T%d] "", GET_TRIG_VNUM(TRIGGERS(SCRIPT(obj))));
        else
          send_to_char(ch, ""[TRIGS] "");
      }
      send_to_char(ch, ""%s"", CCNRM(ch, C_NRM));
    }
    if (!IS_NPC(ch) && (obj->carried_by == ch || obj->worn_by == ch))
      build_player_kept_marker(obj, ch, obj_tags, sizeof(obj_tags));
    else
      build_obj_aura_tags(obj, ch, obj_tags, sizeof(obj_tags), TRUE);
    send_to_char(ch, ""%s%s"", obj_tags, obj->short_description);
    break;"
"src\act.informative.c","275","show_obj_to_char","SHOW_OBJ_ACTION","","","READ_OR_UNKNOWN","","  case SHOW_OBJ_ACTION:
    switch (GET_OBJ_TYPE(obj)) {"
"src\act.informative.c","277","show_obj_to_char","ITEM_NOTE","","There is something written on it:\r\n\r\n%s | It's blank.","READ_OR_UNKNOWN","","    case ITEM_NOTE:
      if (obj->action_description) {
        char notebuf[MAX_NOTE_LENGTH + 64];

        snprintf(notebuf, sizeof(notebuf), ""There is something written on it:\r\n\r\n%s"", obj->action_description);
        page_string(ch->desc, notebuf, TRUE);
      } else
    send_to_char(ch, ""It's blank.\r\n"");
      return;"
"src\act.informative.c","287","show_obj_to_char","ITEM_DRINKCON","","It looks like a drink container.","READ_OR_UNKNOWN","","    case ITEM_DRINKCON:
      send_to_char(ch, ""It looks like a drink container."");
      break;"
"src\act.informative.c","291","show_obj_to_char","default","","You see nothing special..","READ_OR_UNKNOWN","","    default:
      send_to_char(ch, ""You see nothing special.."");
      break;"
"src\act.informative.c","297","show_obj_to_char","default","","SYSERR: Bad display mode (%d) in show_obj_to_char().","READ_OR_UNKNOWN","","  default:
    log(""SYSERR: Bad display mode (%d) in show_obj_to_char()."", mode);
    /*  SYSERR_DESC:  show_obj_to_char() has some predefined 'mode's (argument
     *  #3) to tell it what to display to the character when it is called.  If
     *  the mode is not one of these, it will output this error, and indicate
     *  what mode was passed to it.  To correct it, you will need to find the
     *  call with the incorrect mode and change it to an acceptable mode. */
    return;"
"src\act.informative.c","934","out_append","default","","","READ_OR_UNKNOWN","","    default:              return KNRM;
  }
}

static void append_colored_aura_tag(struct char_data *viewer, char *out, size_t outsz,
                                    int aura_flag, const char *label)
{
  char tagbuf[96];
  const char *clr = """";
  const char *reset = """";

  if (!out || !label)
    return;"
"src\act.informative.c","1308","look_in_obj","FIND_OBJ_INV","","(carried):","READ_OR_UNKNOWN","","        case FIND_OBJ_INV:
          send_to_char(ch, "" (carried): \r\n"");
          break;"
"src\act.informative.c","1311","look_in_obj","FIND_OBJ_ROOM","","(here):","READ_OR_UNKNOWN","","        case FIND_OBJ_ROOM:
          send_to_char(ch, "" (here): \r\n"");
          break;"
"src\act.informative.c","1314","look_in_obj","FIND_OBJ_EQUIP","","(used):","READ_OR_UNKNOWN","","        case FIND_OBJ_EQUIP:
          send_to_char(ch, "" (used): \r\n"");
          break;"
"src\act.informative.c","1659","parse_bounty_amount","default","","","READ_OR_UNKNOWN","","        default: return FALSE; /* Unknown suffix */
      }
    }

    if (token[0] == '\0')
      return FALSE;"
"src\act.informative.c","2067","parse_bounty_amount","POS_DEAD","","You are DEAD!","READ_OR_UNKNOWN","","    case POS_DEAD:
      status_text = ""You are DEAD!"";
      break;"
"src\act.informative.c","2070","parse_bounty_amount","POS_MORTALLYW","","Mortally wounded!","READ_OR_UNKNOWN","","    case POS_MORTALLYW:
      status_text = ""Mortally wounded!"";
      break;"
"src\act.informative.c","2073","parse_bounty_amount","POS_INCAP","","Incapacitated","READ_OR_UNKNOWN","","    case POS_INCAP:
      status_text = ""Incapacitated"";
      break;"
"src\act.informative.c","2076","parse_bounty_amount","POS_STUNNED","","Stunned","READ_OR_UNKNOWN","","    case POS_STUNNED:
      status_text = ""Stunned"";
      break;"
"src\act.informative.c","2079","parse_bounty_amount","POS_SLEEPING","","Sleeping","READ_OR_UNKNOWN","","    case POS_SLEEPING:
      status_text = ""Sleeping"";
      break;"
"src\act.informative.c","2082","parse_bounty_amount","POS_RESTING","","Resting","READ_OR_UNKNOWN","","    case POS_RESTING:
      status_text = ""Resting"";
      break;"
"src\act.informative.c","2085","parse_bounty_amount","POS_SITTING","","Sitting","READ_OR_UNKNOWN","","    case POS_SITTING:
      status_text = !SITTING(ch) ? ""Sitting"" : SITTING(ch)->short_description;
      break;"
"src\act.informative.c","2088","parse_bounty_amount","POS_FIGHTING","","thin air","READ_OR_UNKNOWN","","    case POS_FIGHTING:
      status_text = (FIGHTING(ch) ? PERS(FIGHTING(ch), ch) : ""thin air"");
      break;"
"src\act.informative.c","2091","parse_bounty_amount","POS_STANDING","","Standing","READ_OR_UNKNOWN","","    case POS_STANDING:
      status_text = ""Standing"";
      break;"
"src\act.informative.c","2094","parse_bounty_amount","default","","Floating","READ_OR_UNKNOWN","","    default:
      status_text = ""Floating"";
      break;"
"src\act.informative.c","2438","is_aff_debuff","APPLY_AC","","","READ_OR_UNKNOWN","","    case APPLY_AC:"
"src\act.informative.c","2439","is_aff_debuff","APPLY_EVASION","","","READ_OR_UNKNOWN","","    case APPLY_EVASION:
      return (af->modifier < 0);"
"src\act.informative.c","2441","is_aff_debuff","APPLY_SAVING_BREATH","","","READ_OR_UNKNOWN","","    case APPLY_SAVING_BREATH:"
"src\act.informative.c","2442","is_aff_debuff","APPLY_SAVING_SPELL","","","READ_OR_UNKNOWN","","    case APPLY_SAVING_SPELL:"
"src\act.informative.c","2443","is_aff_debuff","APPLY_SAVING_PARA","","","READ_OR_UNKNOWN","","    case APPLY_SAVING_PARA:"
"src\act.informative.c","2444","is_aff_debuff","APPLY_SAVING_ROD","","","READ_OR_UNKNOWN","","    case APPLY_SAVING_ROD:"
"src\act.informative.c","2445","is_aff_debuff","APPLY_SAVING_PETRI","","","READ_OR_UNKNOWN","","    case APPLY_SAVING_PETRI:
      return (af->modifier > 0);"
"src\act.informative.c","2510","aff_flags_has_meaningful_bits","APPLY_SAVING_BREATH","","","READ_OR_UNKNOWN","","    case APPLY_SAVING_BREATH:"
"src\act.informative.c","2511","aff_flags_has_meaningful_bits","APPLY_SAVING_SPELL","","","READ_OR_UNKNOWN","","    case APPLY_SAVING_SPELL:"
"src\act.informative.c","2512","aff_flags_has_meaningful_bits","APPLY_SAVING_PARA","","","READ_OR_UNKNOWN","","    case APPLY_SAVING_PARA:"
"src\act.informative.c","2513","aff_flags_has_meaningful_bits","APPLY_SAVING_ROD","","","READ_OR_UNKNOWN","","    case APPLY_SAVING_ROD:"
"src\act.informative.c","2514","aff_flags_has_meaningful_bits","APPLY_SAVING_PETRI","","improves | worsens","READ_OR_UNKNOWN","","    case APPLY_SAVING_PETRI:
      return (modifier < 0) ? ""improves"" : ""worsens"";"
"src\act.informative.c","2526","is_saving_apply","APPLY_SAVING_BREATH","","","READ_OR_UNKNOWN","","    case APPLY_SAVING_BREATH:"
"src\act.informative.c","2527","is_saving_apply","APPLY_SAVING_SPELL","","","READ_OR_UNKNOWN","","    case APPLY_SAVING_SPELL:"
"src\act.informative.c","2528","is_saving_apply","APPLY_SAVING_PARA","","","READ_OR_UNKNOWN","","    case APPLY_SAVING_PARA:"
"src\act.informative.c","2529","is_saving_apply","APPLY_SAVING_ROD","","","READ_OR_UNKNOWN","","    case APPLY_SAVING_ROD:"
"src\act.informative.c","2530","is_saving_apply","APPLY_SAVING_PETRI","","","READ_OR_UNKNOWN","","    case APPLY_SAVING_PETRI:
      return 1;"
"src\act.informative.c","2540","is_saving_apply","APPLY_SAVING_SPELL","","spell saves","READ_OR_UNKNOWN","","    case APPLY_SAVING_SPELL:
      return ""spell saves"";"
"src\act.informative.c","2542","is_saving_apply","APPLY_SAVING_BREATH","","breath saves","READ_OR_UNKNOWN","","    case APPLY_SAVING_BREATH:
      return ""breath saves"";"
"src\act.informative.c","2544","is_saving_apply","APPLY_SAVING_PARA","","paralysis saves","READ_OR_UNKNOWN","","    case APPLY_SAVING_PARA:
      return ""paralysis saves"";"
"src\act.informative.c","2546","is_saving_apply","APPLY_SAVING_ROD","","rod saves","READ_OR_UNKNOWN","","    case APPLY_SAVING_ROD:
      return ""rod saves"";"
"src\act.informative.c","2548","is_saving_apply","APPLY_SAVING_PETRI","","petrification saves","READ_OR_UNKNOWN","","    case APPLY_SAVING_PETRI:
      return ""petrification saves"";"
"src\act.informative.c","3253","thirst_is_actively_draining","1","","st","READ_OR_UNKNOWN","","    case 1:
      suf = ""st"";
      break;"
"src\act.informative.c","3256","thirst_is_actively_draining","2","","nd","READ_OR_UNKNOWN","","    case 2:
      suf = ""nd"";
      break;"
"src\act.informative.c","3259","thirst_is_actively_draining","3","","rd","READ_OR_UNKNOWN","","    case 3:
      suf = ""rd"";
      break;"
"src\act.informative.c","3750","search_help","'k'","","","READ_OR_UNKNOWN","","      case 'k':
        outlaws = 1;
        strcpy(buf, buf1);   /* strcpy: OK (sizeof: buf1 == buf) */
        break;"
"src\act.informative.c","3754","search_help","'z'","","","READ_OR_UNKNOWN","","      case 'z':
        localwho = 1;
        strcpy(buf, buf1);   /* strcpy: OK (sizeof: buf1 == buf) */
        break;"
"src\act.informative.c","3758","search_help","'s'","","","READ_OR_UNKNOWN","","      case 's':
        short_list = 1;
        strcpy(buf, buf1);   /* strcpy: OK (sizeof: buf1 == buf) */
        break;"
"src\act.informative.c","3762","search_help","'q'","","","READ_OR_UNKNOWN","","      case 'q':
        questwho = 1;
        strcpy(buf, buf1);   /* strcpy: OK (sizeof: buf1 == buf) */
        break;"
"src\act.informative.c","3766","search_help","'n'","","","READ_OR_UNKNOWN","","      case 'n':
        half_chop(buf1, name_search, buf);
        break;"
"src\act.informative.c","3769","search_help","'r'","","","READ_OR_UNKNOWN","","      case 'r':
        who_room = 1;
        strcpy(buf, buf1);   /* strcpy: OK (sizeof: buf1 == buf) */
        break;"
"src\act.informative.c","3773","search_help","'c'","","","READ_OR_UNKNOWN","","      case 'c':
        half_chop(buf1, arg, buf);
        showclass = find_class_bitvector(arg);
        break;"
"src\act.informative.c","3777","search_help","'l'","","","READ_OR_UNKNOWN","","      case 'l':
        showleader = 1;
        strcpy(buf, buf1);   /* strcpy: OK (sizeof: buf1 == buf) */
        break;"
"src\act.informative.c","3781","search_help","'g'","","","READ_OR_UNKNOWN","","      case 'g':
        showgroup = 1;
        strcpy(buf, buf1);   /* strcpy: OK (sizeof: buf1 == buf) */
        break;"
"src\act.informative.c","3785","search_help","default","","%s","READ_OR_UNKNOWN","","      default:
        send_to_char(ch, ""%s"", WHO_FORMAT);
        return;"
"src\act.informative.c","4033","search_help","'o'","","","READ_OR_UNKNOWN","","      case 'o':"
"src\act.informative.c","4034","search_help","'k'","","","READ_OR_UNKNOWN","","      case 'k':
    outlaws = 1;
    playing = 1;
    strcpy(buf, buf1);    /* strcpy: OK (sizeof: buf1 == buf) */
    break;"
"src\act.informative.c","4039","search_help","'p'","","","READ_OR_UNKNOWN","","      case 'p':
    playing = 1;
    strcpy(buf, buf1);    /* strcpy: OK (sizeof: buf1 == buf) */
    break;"
"src\act.informative.c","4043","search_help","'d'","","","READ_OR_UNKNOWN","","      case 'd':
    deadweight = 1;
    strcpy(buf, buf1);    /* strcpy: OK (sizeof: buf1 == buf) */
    break;"
"src\act.informative.c","4047","search_help","'l'","","%d-%d","READ_OR_UNKNOWN","","      case 'l':
    playing = 1;
    half_chop(buf1, arg, buf);
    sscanf(arg, ""%d-%d"", &low, &high);
    break;"
"src\act.informative.c","4052","search_help","'n'","","","READ_OR_UNKNOWN","","      case 'n':
    playing = 1;
    half_chop(buf1, name_search, buf);
    break;"
"src\act.informative.c","4056","search_help","'h'","","","READ_OR_UNKNOWN","","      case 'h':
    playing = 1;
    half_chop(buf1, host_search, buf);
    break;"
"src\act.informative.c","4060","search_help","'c'","","","READ_OR_UNKNOWN","","      case 'c':
    playing = 1;
    half_chop(buf1, arg, buf);
    showclass = find_class_bitvector(arg);
    break;"
"src\act.informative.c","4065","search_help","default","","%s","READ_OR_UNKNOWN","","      default:
    send_to_char(ch, ""%s"", USERS_FORMAT);
    return;"
"src\act.informative.c","4161","search_help","SCMD_CREDITS","","","READ_OR_UNKNOWN","","  case SCMD_CREDITS:
    page_string(ch->desc, credits, 0);
    break;"
"src\act.informative.c","4164","search_help","SCMD_NEWS","","","READ_OR_UNKNOWN","","  case SCMD_NEWS:
    GET_LAST_NEWS(ch) = time(0);
    page_string(ch->desc, news, 0);
    break;"
"src\act.informative.c","4168","search_help","SCMD_INFO","","","READ_OR_UNKNOWN","","  case SCMD_INFO:
    page_string(ch->desc, info, 0);
    break;"
"src\act.informative.c","4171","search_help","SCMD_WIZLIST","","","READ_OR_UNKNOWN","","  case SCMD_WIZLIST:
    page_string(ch->desc, wizlist, 0);
    break;"
"src\act.informative.c","4174","search_help","SCMD_IMMLIST","","","READ_OR_UNKNOWN","","  case SCMD_IMMLIST:
    page_string(ch->desc, immlist, 0);
    break;"
"src\act.informative.c","4177","search_help","SCMD_HANDBOOK","","","READ_OR_UNKNOWN","","  case SCMD_HANDBOOK:
    page_string(ch->desc, handbook, 0);
    break;"
"src\act.informative.c","4180","search_help","SCMD_POLICIES","","","READ_OR_UNKNOWN","","  case SCMD_POLICIES:
    page_string(ch->desc, policies, 0);
    break;"
"src\act.informative.c","4183","search_help","SCMD_MOTD","","","READ_OR_UNKNOWN","","  case SCMD_MOTD:
    GET_LAST_MOTD(ch) = time(0);
    page_string(ch->desc, motd, 0);
    break;"
"src\act.informative.c","4187","search_help","SCMD_IMOTD","","","READ_OR_UNKNOWN","","  case SCMD_IMOTD:
    page_string(ch->desc, imotd, 0);
    break;"
"src\act.informative.c","4190","search_help","SCMD_CLEAR","","\033[H\033[J","READ_OR_UNKNOWN","","  case SCMD_CLEAR:
    send_to_char(ch, ""\033[H\033[J"");
    break;"
"src\act.informative.c","4193","search_help","SCMD_VERSION","","%s","READ_OR_UNKNOWN","","  case SCMD_VERSION:
    send_to_char(ch, ""%s\r\n"", tbamud_version);
    break;"
"src\act.informative.c","4196","search_help","SCMD_WHOAMI","","%s","READ_OR_UNKNOWN","","  case SCMD_WHOAMI:
    send_to_char(ch, ""%s\r\n"", GET_NAME(ch));
    break;"
"src\act.informative.c","4199","search_help","default","","SYSERR: Unhandled case in do_gen_ps. (%d)","READ_OR_UNKNOWN","","  default:
    log(""SYSERR: Unhandled case in do_gen_ps. (%d)"", subcmd);
    /* SYSERR_DESC: General page string function for such things as 'credits',
     * 'news', 'wizlist', 'clear', 'version'.  This occurs when a call is made
     * to this routine that is not one of the predefined calls.  To correct it,
     * either a case needs to be added into the function to account for the
     * subcmd that is being passed to it, or the call to the function needs to
     * have the correct subcmd put into place. */
    return;"
"src\act.informative.c","4455","perform_immort_where","SEX_MALE","","","READ_OR_UNKNOWN","","    case SEX_MALE:"
"src\act.informative.c","4456","perform_immort_where","SEX_NEUTRAL","","%s","READ_OR_UNKNOWN","","    case SEX_NEUTRAL:
      nlen = snprintf(buf + len, sizeof(buf) - len, ""%s\r\n"", title_male(GET_CLASS(ch), i));
      break;"
"src\act.informative.c","4459","perform_immort_where","SEX_FEMALE","","%s","READ_OR_UNKNOWN","","    case SEX_FEMALE:
      nlen = snprintf(buf + len, sizeof(buf) - len, ""%s\r\n"", title_female(GET_CLASS(ch), i));
      break;"
"src\act.informative.c","4462","perform_immort_where","default","","Oh dear.  You seem to be sexless.","READ_OR_UNKNOWN","","    default:
      nlen = snprintf(buf + len, sizeof(buf) - len, ""Oh dear.  You seem to be sexless.\r\n"");
      break;"
"src\act.informative.c","4801","perform_immort_where","SCMD_COLOR","","Your current color level is %s.","READ_OR_UNKNOWN","","  case SCMD_COLOR:
    if (!*arg2) {
      send_to_char(ch, ""Your current color level is %s.\r\n"", types[COLOR_LEV(ch)]);
      return;"
"src\act.informative.c","4818","perform_immort_where","SCMD_SYSLOG","","Your syslog is currently %s.","READ_OR_UNKNOWN","","  case SCMD_SYSLOG:
    if (!*arg2) {
      send_to_char(ch, ""Your syslog is currently %s.\r\n"",
        types[(PRF_FLAGGED(ch, PRF_LOG1) ? 1 : 0) + (PRF_FLAGGED(ch, PRF_LOG2) ? 2 : 0)]);
      return;"
"src\act.informative.c","4835","perform_immort_where","SCMD_SLOWNS","","","READ_OR_UNKNOWN","","  case SCMD_SLOWNS:
    result = (CONFIG_NS_IS_SLOW = !CONFIG_NS_IS_SLOW);
    break;"
"src\act.informative.c","4838","perform_immort_where","SCMD_TRACK","","","READ_OR_UNKNOWN","","  case SCMD_TRACK:
    result = (CONFIG_TRACK_T_DOORS = !CONFIG_TRACK_T_DOORS);
    break;"
"src\act.informative.c","4841","perform_immort_where","SCMD_BUILDWALK","","Builders only, sorry.","READ_OR_UNKNOWN","","  case SCMD_BUILDWALK:
    if (GET_LEVEL(ch) < LVL_BUILDER) {
      send_to_char(ch, ""Builders only, sorry.\r\n"");
      return;"
"src\act.informative.c","4861","perform_immort_where","SCMD_AFK","","$n is now away from $s keyboard. | $n has returned to $s keyboard. | You have mail waiting.","READ_OR_UNKNOWN","","  case SCMD_AFK:
    if ((result = PRF_TOG_CHK(ch, PRF_AFK)))
      act(""$n is now away from $s keyboard."", TRUE, ch, 0, 0, TO_ROOM);
    else {
      act(""$n has returned to $s keyboard."", TRUE, ch, 0, 0, TO_ROOM);
      if (has_mail(GET_IDNUM(ch)))
        send_to_char(ch, ""You have mail waiting.\r\n"");
    }
    break;"
"src\act.informative.c","4870","perform_immort_where","SCMD_WIMPY","","Your current wimp level is %d hit points.","READ_OR_UNKNOWN","","  case SCMD_WIMPY:
    if (!*arg2) {
      if (GET_WIMP_LEV(ch)) {
        send_to_char(ch, ""Your current wimp level is %d hit points.\r\n"", GET_WIMP_LEV(ch));
        return;"
"src\act.informative.c","4899","perform_immort_where","SCMD_PAGELENGTH","","Your current page length is set to %d lines. | Okay, your page length is now set to %d lines. | Please specify a number of lines (5 - 255).","READ_OR_UNKNOWN","","  case SCMD_PAGELENGTH:
    if (!*arg2)
      send_to_char(ch, ""Your current page length is set to %d lines."", GET_PAGE_LENGTH(ch));
    else if (is_number(arg2)) {
      GET_PAGE_LENGTH(ch) = MIN(MAX(atoi(arg2), 5), 255);
      send_to_char(ch, ""Okay, your page length is now set to %d lines."", GET_PAGE_LENGTH(ch));
    } else
      send_to_char(ch, ""Please specify a number of lines (5 - 255)."");
    break;"
"src\act.informative.c","4908","perform_immort_where","SCMD_SCREENWIDTH","","Your current screen width is set to %d characters. | Okay, your screen width is now set to %d characters. | Please specify a number of characters (40 - 200).","READ_OR_UNKNOWN","","  case SCMD_SCREENWIDTH:
    if (!*arg2)
      send_to_char(ch, ""Your current screen width is set to %d characters."", GET_SCREEN_WIDTH(ch));
    else if (is_number(arg2)) {
      GET_SCREEN_WIDTH(ch) = MIN(MAX(atoi(arg2), 40), 200);
      send_to_char(ch, ""Okay, your screen width is now set to %d characters."", GET_SCREEN_WIDTH(ch));
    } else
      send_to_char(ch, ""Please specify a number of characters (40 - 200)."");
    break;"
"src\act.informative.c","4917","perform_immort_where","SCMD_AUTOMAP","","on | off | Value for %s must either be 'on' or 'off'.","DESTRUCTIVE_REVIEW","delete/purge/extract/remove/free operation | OLC/object/flag mutation","  case SCMD_AUTOMAP:
    if (can_see_map(ch)) {
      if (!*arg2) {
        TOGGLE_BIT_AR(PRF_FLAGS(ch), tog_messages[toggle].toggle);
        result = (PRF_FLAGGED(ch, tog_messages[toggle].toggle));
      } else if (!strcmp(arg2, ""on"")) {
        SET_BIT_AR(PRF_FLAGS(ch), tog_messages[toggle].toggle);
        result = 1;
      } else if (!strcmp(arg2, ""off"")) {
        REMOVE_BIT_AR(PRF_FLAGS(ch), tog_messages[toggle].toggle);
      } else {
        send_to_char(ch, ""Value for %s must either be 'on' or 'off'.\r\n"", tog_messages[toggle].command);
        return;"
"src\act.informative.c","4934","perform_immort_where","default","","on | off | Value for %s must either be 'on' or 'off'.","DESTRUCTIVE_REVIEW","delete/purge/extract/remove/free operation | OLC/object/flag mutation","  default:
    if (!*arg2) {
      TOGGLE_BIT_AR(PRF_FLAGS(ch), tog_messages[toggle].toggle);
      result = (PRF_FLAGGED(ch, tog_messages[toggle].toggle));
    } else if (!strcmp(arg2, ""on"")) {
      SET_BIT_AR(PRF_FLAGS(ch), tog_messages[toggle].toggle);
      result = 1;
    } else if (!strcmp(arg2, ""off"")) {
      REMOVE_BIT_AR(PRF_FLAGS(ch), tog_messages[toggle].toggle);
    } else {
      send_to_char(ch, ""Value for %s must either be 'on' or 'off'.\r\n"", tog_messages[toggle].command);
      return;"
"src\act.item.c","539","perform_drop_gold","SCMD_DROP","","","READ_OR_UNKNOWN","","  case SCMD_DROP:
    obj_to_room(obj, IN_ROOM(ch));
    return (0);"
"src\act.item.c","542","perform_drop_gold","SCMD_DONATE","","$p suddenly appears in a puff a smoke!","READ_OR_UNKNOWN","","  case SCMD_DONATE:
    obj_to_room(obj, RDR);
    act(""$p suddenly appears in a puff a smoke!"", FALSE, 0, obj, 0, TO_ROOM);
    return (0);"
"src\act.item.c","546","perform_drop_gold","SCMD_JUNK","","","DESTRUCTIVE_REVIEW","delete/purge/extract/remove/free operation","  case SCMD_JUNK:
    value = MAX(1, MIN(200, GET_OBJ_COST(obj) / 16));
    extract_obj(obj);
    return (value);"
"src\act.item.c","550","perform_drop_gold","default","","SYSERR: Incorrect argument %d passed to perform_drop.","READ_OR_UNKNOWN","","  default:
    log(""SYSERR: Incorrect argument %d passed to perform_drop."", mode);
    /* SYSERR_DESC: This error comes from perform_drop() and is output when
     * perform_drop() is called with an illegal 'mode' argument. */
    break;"
"src\act.item.c","624","perform_drop_currency","SCMD_JUNK","","junk","READ_OR_UNKNOWN","","  case SCMD_JUNK:
    sname = ""junk"";
    mode = SCMD_JUNK;
    break;"
"src\act.item.c","628","perform_drop_currency","SCMD_DONATE","","donate","READ_OR_UNKNOWN","","  case SCMD_DONATE:
    sname = ""donate"";
    mode = SCMD_DONATE;
    /* fail + double chance for room 1   */
    num_don_rooms = (CONFIG_DON_ROOM_1 != NOWHERE) * 2 +
                    (CONFIG_DON_ROOM_2 != NOWHERE)     +
                    (CONFIG_DON_ROOM_3 != NOWHERE)     + 1 ;
    switch (rand_number(0, num_don_rooms)) {"
"src\act.item.c","636","perform_drop_currency","0","","","READ_OR_UNKNOWN","","    case 0:
      mode = SCMD_JUNK;
      break;"
"src\act.item.c","639","perform_drop_currency","1","","","READ_OR_UNKNOWN","","    case 1:"
