"File","Line","Function","Call","Evidence"
"src\mail.c","316","store_mail","string_write(ch->desc, mailwrite, MAX_MAIL_SIZE, recipient, NULL);","   313: 
   314:   /* Start writing! */
   315:   CREATE(mailwrite, char *, 1);
   316:   string_write(ch->desc, mailwrite, MAX_MAIL_SIZE, recipient, NULL);
   317: }
   318: 
   319: static void postmaster_check_mail(struct char_data *ch, struct char_data *mailman,
   320: 			  int cmd, char *arg)
   321: {"
"src\medit.c","1003","medit_parse","string_write(d, &OLC_MOB(d)->player.description, MAX_MOB_DESC, 0, oldtext);","  1000: 	      write_to_output(d, ""%s"", OLC_MOB(d)->player.description);
  1001: 	      oldtext = strdup(OLC_MOB(d)->player.description);
  1002:       }
  1003:       string_write(d, &OLC_MOB(d)->player.description, MAX_MOB_DESC, 0, oldtext);
  1004:       OLC_VAL(d) = 1;
  1005:       return;
  1006:     case '6':
  1007:       OLC_MODE(d) = MEDIT_POS;
  1008:       medit_disp_positions(d);"
"src\modify.c","110","parse_tab","void string_write(struct descriptor_data *d, char **writeto, size_t len, long mailto, void *data) { if (d->character && !IS_NPC(d->character)) SET_BIT_AR(PLR_FLAGS(d->character), PLR_WRITING);","   107:  * can use it to pass whatever else you may want through it.  The improved
   108:  * editor patch when updated could use it to pass the old text buffer, for
   109:  * instance. */
   110: void string_write(struct descriptor_data *d, char **writeto, size_t len, long mailto, void *data)
   111: {
   112:   if (d->character && !IS_NPC(d->character))
   113:     SET_BIT_AR(PLR_FLAGS(d->character), PLR_WRITING);
   114: 
   115:   if (using_improved_editor)"
"src\modify.h","31","","void string_write(struct descriptor_data *d, char **txt, size_t len, long mailto, void *data);","    28: /** @todo should this really be in modify.c? */
    29: ACMD(do_skillset);
    30: /* Following function prototypes moved here from comm.h */
    31: void  string_write(struct descriptor_data *d, char **txt, size_t len, long mailto, void *data);
    32: void  string_add(struct descriptor_data *d, char *str);
    33: void  page_string(struct descriptor_data *d, char *str, int keep_internal);
    34: /* page string function & defines */
    35: #define PAGE_LENGTH 60
    36: #define PAGE_WIDTH  80"
"src\oedit.c","836","oedit_parse","string_write(d, &OLC_OBJ(d)->action_description, MAX_MESSAGE_LENGTH, 0, oldtext);","   833: 	write_to_output(d, ""%s"", OLC_OBJ(d)->action_description);
   834: 	oldtext = strdup(OLC_OBJ(d)->action_description);
   835:       }
   836:       string_write(d, &OLC_OBJ(d)->action_description, MAX_MESSAGE_LENGTH, 0, oldtext);
   837:       OLC_VAL(d) = 1;
   838:       break;
   839:     case '5':
   840:       oedit_disp_type_menu(d);
   841:       OLC_MODE(d) = OEDIT_TYPE;"
"src\oedit.c","1270","oedit_parse","string_write(d, &OLC_DESC(d)->description, MAX_MESSAGE_LENGTH, 0, oldtext);","  1267: 	write_to_output(d, ""%s"", OLC_DESC(d)->description);
  1268: 	oldtext = strdup(OLC_DESC(d)->description);
  1269:       }
  1270:       string_write(d, &OLC_DESC(d)->description, MAX_MESSAGE_LENGTH, 0, oldtext);
  1271:       OLC_VAL(d) = 1;
  1272:       return;
  1273: 
  1274:     case 3:
  1275:       /* Only go to the next description if this one is finished. */"
"src\qedit.c","470","qedit_parse","string_write(d, &OLC_QUEST(d)->info, MAX_QUEST_MSG, 0, oldtext);","   467:             write_to_output(d, ""%s"", OLC_QUEST(d)->info);
   468:             oldtext = strdup(OLC_QUEST(d)->info);
   469:           }
   470:           string_write(d, &OLC_QUEST(d)->info, MAX_QUEST_MSG, 0, oldtext);
   471:           OLC_VAL(d) = 1;
   472:           break;
   473:         case '4':
   474:           OLC_MODE(d) = QEDIT_COMPLETE;
   475:           clear_screen(d);"
"src\qedit.c","483","qedit_parse","string_write(d, &OLC_QUEST(d)->done, MAX_QUEST_MSG, 0, oldtext);","   480:             write_to_output(d, ""%s"", OLC_QUEST(d)->done);
   481:             oldtext = strdup(OLC_QUEST(d)->done);
   482:           }
   483:           string_write(d, &OLC_QUEST(d)->done, MAX_QUEST_MSG, 0, oldtext);
   484:           OLC_VAL(d) = 1;
   485:           break;
   486:         case '5':
   487:           OLC_MODE(d) = QEDIT_ABANDON;
   488:           clear_screen(d);"
"src\qedit.c","496","qedit_parse","string_write(d, &OLC_QUEST(d)->quit, MAX_QUEST_MSG, 0, oldtext);","   493:             write_to_output(d, ""%s"", OLC_QUEST(d)->quit);
   494:             oldtext = strdup(OLC_QUEST(d)->quit);
   495:           }
   496:           string_write(d, &OLC_QUEST(d)->quit, MAX_QUEST_MSG, 0, oldtext);
   497:           OLC_VAL(d) = 1;
   498:           break;
   499:         case '6':
   500:           OLC_MODE(d) = QEDIT_FLAGS;
   501:           qedit_disp_flag_menu(d);"
"src\redit.c","831","redit_parse","string_write(d, &OLC_ROOM(d)->description, MAX_ROOM_DESC, 0, oldtext);","   828: 	write_to_output(d, ""%s"", OLC_ROOM(d)->description);
   829: 	oldtext = strdup(OLC_ROOM(d)->description);
   830:       }
   831:       string_write(d, &OLC_ROOM(d)->description, MAX_ROOM_DESC, 0, oldtext);
   832:       OLC_VAL(d) = 1;
   833:       break;
   834:     case '3':
   835:       redit_disp_flag_menu(d);
   836:       break;"
"src\redit.c","1011","redit_parse","string_write(d, &OLC_EXIT(d)->general_description, MAX_EXIT_DESC, 0, oldtext);","  1008: 	write_to_output(d, ""%s"", OLC_EXIT(d)->general_description);
  1009: 	oldtext = strdup(OLC_EXIT(d)->general_description);
  1010:       }
  1011:       string_write(d, &OLC_EXIT(d)->general_description, MAX_EXIT_DESC, 0, oldtext);
  1012:       return;
  1013:     case '3':
  1014:       OLC_MODE(d) = REDIT_EXIT_KEYWORD;
  1015:       write_to_output(d, ""Enter keywords : "");
  1016:       return;"
"src\redit.c","1130","redit_parse","string_write(d, &OLC_DESC(d)->description, MAX_MESSAGE_LENGTH, 0, oldtext);","  1127: 	write_to_output(d, ""%s"", OLC_DESC(d)->description);
  1128: 	oldtext = strdup(OLC_DESC(d)->description);
  1129:       }
  1130:       string_write(d, &OLC_DESC(d)->description, MAX_MESSAGE_LENGTH, 0, oldtext);
  1131:       return;
  1132:     case 3:
  1133:       if (OLC_DESC(d)->keyword == NULL || OLC_DESC(d)->description == NULL) {
  1134: 	write_to_output(d, ""You can't edit the next extra description without completing this one.\r\n"");
  1135: 	redit_disp_extradesc_menu(d);"
"src\tedit.c","144","tedit_string_cleanup","string_write(ch->desc, (char **)fields[l].buffer, fields[l].size, 0, backstr);","   141:   }
   142: 
   143:   OLC_STORAGE(ch->desc) = strdup(fields[l].filename);
   144:   string_write(ch->desc, (char **)fields[l].buffer, fields[l].size, 0, backstr);
   145: 
   146:   act(""$n begins editing a scroll."", TRUE, ch, 0, 0, TO_ROOM);
   147:   SET_BIT_AR(PLR_FLAGS(ch), PLR_WRITING);
   148:   STATE(ch->desc) = CON_TEDIT;
   149: }"
