"File","Line","Function","OutputFunction","Text","LikelyPrompt","ContainsCRLF","EndsWithNewline","Risk","Evidence"
"src\act.clan.c","427","clanedit_parse","write_to_output","Clan name updated to %s.\r\n","True","True","True","READ_OR_UNKNOWN","   427:       write_to_output(d, ""Clan name updated to %s.\r\n"", clan_name_by_id(d->clanedit_id));
   428:       d->clanedit_mode = CLANEDIT_MAIN;
   429:       clanedit_menu(d);
   430:       return;"
"src\act.clan.c","434","clanedit_parse","write_to_output","Display name cannot be empty. Enter new display name: ","True","False","False","READ_OR_UNKNOWN","   434:         write_to_output(d, ""Display name cannot be empty. Enter new display name: "");
   435:         return;
   436:       }
   437: "
"src\act.clan.c","443","clanedit_parse","write_to_output","Display names may only use letters, numbers, and color codes. Try again: ","True","False","False","READ_OR_UNKNOWN","   443:         write_to_output(d, ""Display names may only use letters, numbers, and color codes. Try again: "");
   444:         return;
   445:       }
   446: "
"src\act.clan.c","448","clanedit_parse","write_to_output","Display names must be under %d characters. Try again: ","True","False","False","READ_OR_UNKNOWN","   448:         write_to_output(d, ""Display names must be under %d characters. Try again: "", CLAN_DISPLAY_LEN);
   449:         return;
   450:       }
   451: "
"src\act.clan.c","453","clanedit_parse","write_to_output","Unable to save the new display name.\r\n","True","True","True","READ_OR_UNKNOWN","   453:         write_to_output(d, ""Unable to save the new display name.\r\n"");
   454:         d->clanedit_mode = CLANEDIT_MAIN;
   455:         clanedit_menu(d);
   456:         return;"
"src\act.clan.c","459","clanedit_parse","write_to_output","Clan display name updated to %s.\r\n","True","True","True","READ_OR_UNKNOWN","   459:       write_to_output(d, ""Clan display name updated to %s.\r\n"", clan_display_name_by_id(d->clanedit_id));
   460:       d->clanedit_mode = CLANEDIT_MAIN;
   461:       clanedit_menu(d);
   462:       return;"
"src\act.clan.c","465","clanedit_parse","write_to_output","\r\nTag edit is not persisted yet. Use file edits for now.\r\n","False","True","True","READ_OR_UNKNOWN","   465:       write_to_output(d, ""\r\nTag edit is not persisted yet. Use file edits for now.\r\n"");
   466:       d->clanedit_mode = CLANEDIT_MAIN;
   467:       clanedit_menu(d);
   468:       return;"
"src\act.clan.c","478","clanedit_parse","write_to_output","Please enter 0, 1, or 2: ","True","False","False","READ_OR_UNKNOWN","   478:         write_to_output(d, ""Please enter 0, 1, or 2: "");
   479:         return;
   480:       }
   481:       if (!clan_set_pvp_type_and_save(d->clanedit_id, (*arg - '0'))) {"
"src\act.clan.c","482","clanedit_parse","write_to_output","Unable to save the new PvP/PK type.\r\n","True","True","True","READ_OR_UNKNOWN","   482:         write_to_output(d, ""Unable to save the new PvP/PK type.\r\n"");
   483:         d->clanedit_mode = CLANEDIT_MAIN;
   484:         clanedit_menu(d);
   485:         return;"
"src\act.clan.c","487","clanedit_parse","write_to_output","Clan PvP/PK type updated to %s.\r\n","True","True","True","READ_OR_UNKNOWN","   487:       write_to_output(d, ""Clan PvP/PK type updated to %s.\r\n"",
   488:         clan_pvp_type_name(clan_pvp_type_by_id(d->clanedit_id)));
   489:       d->clanedit_mode = CLANEDIT_MAIN;
   490:       clanedit_menu(d);"
"src\act.clan.c","494","clanedit_parse","write_to_output","Save changes before exiting? (Y/N): ","True","False","False","READ_OR_UNKNOWN","   494:         write_to_output(d, ""Save changes before exiting? (Y/N): "");
   495:         return;
   496:       }
   497: "
"src\act.clan.c","501","clanedit_parse","write_to_output","Clans saved. Exiting clan editor.\r\n","True","True","True","READ_OR_UNKNOWN","   501:             write_to_output(d, ""Clans saved. Exiting clan editor.\r\n"");
   502:           else
   503:             write_to_output(d, ""Could not save clans, exiting anyway.\r\n"");
   504:           break;"
"src\act.clan.c","503","clanedit_parse","write_to_output","Could not save clans, exiting anyway.\r\n","True","True","True","READ_OR_UNKNOWN","   503:             write_to_output(d, ""Could not save clans, exiting anyway.\r\n"");
   504:           break;
   505: 
   506:         case 'n':"
"src\act.clan.c","507","clanedit_parse","write_to_output","Exiting clan editor without saving.\r\n","False","True","True","READ_OR_UNKNOWN","   507:           write_to_output(d, ""Exiting clan editor without saving.\r\n"");
   508:           break;
   509: 
   510:         default:"
"src\act.clan.c","511","clanedit_parse","write_to_output","Please enter Y or N: ","True","False","False","READ_OR_UNKNOWN","   511:           write_to_output(d, ""Please enter Y or N: "");
   512:           return;
   513:       }
   514: "
"src\act.clan.c","532","clanedit_parse","write_to_output","Enter new clan name: ","True","False","False","READ_OR_UNKNOWN","   532:       write_to_output(d, ""Enter new clan name: "");
   533:       return;
   534:     case '2':
   535:       d->clanedit_mode = CLANEDIT_SET_DISPLAY_NAME;"
"src\act.clan.c","536","clanedit_parse","write_to_output","Enter new clan display name (colors allowed): ","True","False","False","READ_OR_UNKNOWN","   536:       write_to_output(d, ""Enter new clan display name (colors allowed): "");
   537:       return;
   538:     case '3':
   539:       d->clanedit_mode = CLANEDIT_SET_TAG;"
"src\act.clan.c","540","clanedit_parse","write_to_output","Enter new clan tag (shown in who): ","True","False","False","READ_OR_UNKNOWN","   540:       write_to_output(d, ""Enter new clan tag (shown in who): "");
   541:       return;
   542:     case '4':
   543:       d->clanedit_mode = CLANEDIT_SET_PVP_TYPE;"
"src\act.clan.c","548","clanedit_parse","write_to_output","Save changes before exiting? (Y/N): ","True","False","False","READ_OR_UNKNOWN","   548:       write_to_output(d, ""Save changes before exiting? (Y/N): "");
   549:       return;
   550:     default:
   551:       write_to_output(d, ""Invalid choice.\r\n"");"
"src\act.clan.c","551","clanedit_parse","write_to_output","Invalid choice.\r\n","True","True","True","READ_OR_UNKNOWN","   551:       write_to_output(d, ""Invalid choice.\r\n"");
   552:       clanedit_menu(d);
   553:       return;
   554:   }"
"src\act.clan.c","593","clanedit_parse","send_to_char","No clans found.\r\n","False","True","True","READ_OR_UNKNOWN","   593:     send_to_char(ch, ""No clans found.\r\n"");
   594:     return;
   595:   }
   596: "
"src\act.clan.c","616","clanedit_parse","send_to_char","Clans\r\n","False","True","True","READ_OR_UNKNOWN","   616:   send_to_char(ch, ""Clans\r\n"");
   617:   send_to_char(ch, ""-----\r\n"");
   618:   for (i = 0; i < n; i++) {
   619:     /* Keep it compact, like who/finger style. */"
"src\act.clan.c","617","clanedit_parse","send_to_char","-----\r\n","False","True","True","READ_OR_UNKNOWN","   617:   send_to_char(ch, ""-----\r\n"");
   618:   for (i = 0; i < n; i++) {
   619:     /* Keep it compact, like who/finger style. */
   620:     send_to_char(ch, ""%-20s Online: %d\r\n"", rows[i].display_name ? rows[i].display_name : rows[i].name, rows[i].online);"
"src\act.clan.c","620","clanedit_parse","send_to_char","%-20s Online: %d\r\n","False","True","True","READ_OR_UNKNOWN","   620:     send_to_char(ch, ""%-20s Online: %d\r\n"", rows[i].display_name ? rows[i].display_name : rows[i].name, rows[i].online);
   621:   }
   622:   send_to_char(ch, ""\r\n%d clan%s listed.\r\n"", n, (n == 1 ? """" : ""s""));
   623: }"
"src\act.clan.c","622","clanedit_parse","send_to_char","\r\n%d clan%s listed.\r\ns","False","True","False","READ_OR_UNKNOWN","   622:   send_to_char(ch, ""\r\n%d clan%s listed.\r\n"", n, (n == 1 ? """" : ""s""));
   623: }
   624: 
   625: "
"src\act.clan.c","636","clanedit_parse","send_to_char","Clanedit requires a live descriptor.\r\n","False","True","True","READ_OR_UNKNOWN","   636:     send_to_char(ch, ""Clanedit requires a live descriptor.\r\n"");
   637:     return;
   638:   }
   639: "
"src\act.clan.c","643","clanedit_parse","send_to_char","Usage: clanedit <clan name>\r\n","True","True","True","READ_OR_UNKNOWN","   643:     send_to_char(ch, ""Usage: clanedit <clan name>\r\n"");
   644:     return;
   645:   }
   646: "
"src\act.clan.c","654","clanedit_parse","send_to_char","Clan not found.\r\n","False","True","True","READ_OR_UNKNOWN","   654:     send_to_char(ch, ""Clan not found.\r\n"");
   655:     return;
   656:   }
   657: "
"src\act.clan.c","659","clanedit_parse","send_to_char","You do not have permission to edit that clan.\r\n","False","True","True","READ_OR_UNKNOWN","   659:     send_to_char(ch, ""You do not have permission to edit that clan.\r\n"");
   660:     return;
   661:   }
   662: "
"src\act.clan.c","678","clanedit_parse","send_to_char","You are not in a clan.\r\n","False","True","True","READ_OR_UNKNOWN","   678:     send_to_char(ch, ""You are not in a clan.\r\n"");
   679:     return;
   680:   }
   681: "
"src\act.clan.c","699","clanedit_parse","send_to_char","Usage:\r\n  clan <message>\r\n  cjoin <clan name or id>\r\n  cquit\r\n","True","True","True","READ_OR_UNKNOWN","   699:     send_to_char(ch, ""Usage:\r\n  clan <message>\r\n  cjoin <clan name or id>\r\n  cquit\r\n"");
   700:     return;
   701:   }
   702: "
"src\act.clan.c","709","clanedit_parse","send_to_char","You are already in a clan.\r\n","False","True","True","READ_OR_UNKNOWN","   709:       send_to_char(ch, ""You are already in a clan.\r\n"");
   710:       return;
   711:     }
   712: "
"src\act.clan.c","715","clanedit_parse","send_to_char","Usage: cjoin <clan name or id>\r\n","True","True","True","READ_OR_UNKNOWN","   715:       send_to_char(ch, ""Usage: cjoin <clan name or id>\r\n"");
   716:       return;
   717:     }
   718: "
"src\act.clan.c","724","clanedit_parse","send_to_char","No such clan.\r\n","False","True","True","READ_OR_UNKNOWN","   724:       send_to_char(ch, ""No such clan.\r\n"");
   725:       return;
   726:     }
   727: "
"src\act.clan.c","731","clanedit_parse","send_to_char","You have joined %s.\r\n","False","True","True","READ_OR_UNKNOWN","   731:     send_to_char(ch, ""You have joined %s.\r\n"", clan_display_name_by_id(clan_id));
   732: 
   733:     /* Save if available in your codebase; harmless if you remove it later. */
   734:     save_char(ch);"
"src\act.clan.c","740","clanedit_parse","send_to_char","You are not in a clan.\r\n","False","True","True","READ_OR_UNKNOWN","   740:       send_to_char(ch, ""You are not in a clan.\r\n"");
   741:       return;
   742:     }
   743:     send_to_char(ch, ""You have left %s.\r\n"", clan_display_name_by_id(GET_CLAN_ID(ch)));"
"src\act.clan.c","743","clanedit_parse","send_to_char","You have left %s.\r\n","False","True","True","READ_OR_UNKNOWN","   743:     send_to_char(ch, ""You have left %s.\r\n"", clan_display_name_by_id(GET_CLAN_ID(ch)));
   744:     SET_CLAN_ID(ch, 0);
   745:     SET_CLAN_RANK(ch, 0);
   746:     save_char(ch);"
"src\act.clan.c","753","clanedit_parse","send_to_char","You are not in a clan.\r\n","False","True","True","READ_OR_UNKNOWN","   753:       send_to_char(ch, ""You are not in a clan.\r\n"");
   754:       return;
   755:     }
   756: "
"src\act.clan.c","758","clanedit_parse","send_to_char","Only clan leaders may invite members.\r\n","False","True","True","READ_OR_UNKNOWN","   758:       send_to_char(ch, ""Only clan leaders may invite members.\r\n"");
   759:       return;
   760:     }
   761: "
"src\act.clan.c","764","clanedit_parse","send_to_char","Usage: cinvite <player>\r\n","False","True","True","READ_OR_UNKNOWN","   764:       send_to_char(ch, ""Usage: cinvite <player>\r\n"");
   765:       return;
   766:     }
   767: "
"src\act.clan.c","770","clanedit_parse","send_to_char","No such player is online.\r\n","False","True","True","READ_OR_UNKNOWN","   770:       send_to_char(ch, ""No such player is online.\r\n"");
   771:       return;
   772:     }
   773: "
"src\act.clan.c","775","clanedit_parse","send_to_char","You can only invite players.\r\n","False","True","True","READ_OR_UNKNOWN","   775:       send_to_char(ch, ""You can only invite players.\r\n"");
   776:       return;
   777:     }
   778: "
"src\act.clan.c","780","clanedit_parse","send_to_char","You are already in your own clan.\r\n","False","True","True","READ_OR_UNKNOWN","   780:       send_to_char(ch, ""You are already in your own clan.\r\n"");
   781:       return;
   782:     }
   783: "
"src\act.clan.c","785","clanedit_parse","send_to_char","%s is already in %s.\r\n","False","True","True","READ_OR_UNKNOWN","   785:       send_to_char(ch, ""%s is already in %s.\r\n"", GET_NAME(vict), clan_display_name_by_id(GET_CLAN_ID(vict)));
   786:       return;
   787:     }
   788: "
"src\act.clan.c","793","clanedit_parse","send_to_char","You invite %s into %s.\r\n","False","True","True","READ_OR_UNKNOWN","   793:     send_to_char(ch, ""You invite %s into %s.\r\n"", GET_NAME(vict), clan_display_name_by_id(GET_CLAN_ID(ch)));
   794:     send_to_char(vict, ""%s invites you into %s.\r\n"", GET_NAME(ch), clan_display_name_by_id(GET_CLAN_ID(ch)));
   795:     send_to_clan(GET_CLAN_ID(ch), ""A new member has joined the clan."", NULL);
   796:     return;"
"src\act.clan.c","794","clanedit_parse","send_to_char","%s invites you into %s.\r\n","False","True","True","READ_OR_UNKNOWN","   794:     send_to_char(vict, ""%s invites you into %s.\r\n"", GET_NAME(ch), clan_display_name_by_id(GET_CLAN_ID(ch)));
   795:     send_to_clan(GET_CLAN_ID(ch), ""A new member has joined the clan."", NULL);
   796:     return;
   797:   }"
"src\act.clan.c","804","clanedit_parse","send_to_char","You are not in a clan.\r\n","False","True","True","READ_OR_UNKNOWN","   804:       send_to_char(ch, ""You are not in a clan.\r\n"");
   805:       return;
   806:     }
   807: "
"src\act.clan.c","809","clanedit_parse","send_to_char","Only clan leaders may change ranks.\r\n","False","True","True","READ_OR_UNKNOWN","   809:       send_to_char(ch, ""Only clan leaders may change ranks.\r\n"");
   810:       return;
   811:     }
   812: "
"src\act.clan.c","815","clanedit_parse","send_to_char","Usage: c%s <player>\r\npromotedemote","False","True","False","READ_OR_UNKNOWN","   815:       send_to_char(ch, ""Usage: c%s <player>\r\n"", (delta > 0) ? ""promote"" : ""demote"");
   816:       return;
   817:     }
   818: "
"src\act.clan.c","821","clanedit_parse","send_to_char","No such player is online.\r\n","False","True","True","READ_OR_UNKNOWN","   821:       send_to_char(ch, ""No such player is online.\r\n"");
   822:       return;
   823:     }
   824: "
"src\act.clan.c","826","clanedit_parse","send_to_char","You can only change player ranks.\r\n","False","True","True","READ_OR_UNKNOWN","   826:       send_to_char(ch, ""You can only change player ranks.\r\n"");
   827:       return;
   828:     }
   829: "
"src\act.clan.c","831","clanedit_parse","send_to_char","You cannot change your own rank.\r\n","False","True","True","READ_OR_UNKNOWN","   831:       send_to_char(ch, ""You cannot change your own rank.\r\n"");
   832:       return;
   833:     }
   834: "
"src\act.clan.c","836","clanedit_parse","send_to_char","%s is not in your clan.\r\n","False","True","True","READ_OR_UNKNOWN","   836:       send_to_char(ch, ""%s is not in your clan.\r\n"", GET_NAME(vict));
   837:       return;
   838:     }
   839: "
"src\act.clan.c","841","clanedit_parse","send_to_char","You cannot change the rank of an equal or higher-ranked member.\r\n","False","True","True","READ_OR_UNKNOWN","   841:       send_to_char(ch, ""You cannot change the rank of an equal or higher-ranked member.\r\n"");
   842:       return;
   843:     }
   844: "
"src\act.clan.c","847","clanedit_parse","send_to_char","%s is already at the lowest rank.\r\n","False","True","True","READ_OR_UNKNOWN","   847:       send_to_char(ch, ""%s is already at the lowest rank.\r\n"", GET_NAME(vict));
   848:       return;
   849:     }
   850: "
"src\act.clan.c","852","clanedit_parse","send_to_char","%s is already at the highest rank.\r\n","False","True","True","READ_OR_UNKNOWN","   852:       send_to_char(ch, ""%s is already at the highest rank.\r\n"", GET_NAME(vict));
   853:       return;
   854:     }
   855: "
"src\act.clan.c","857","clanedit_parse","send_to_char","You may not raise someone to your own rank or higher.\r\n","False","True","True","READ_OR_UNKNOWN","   857:       send_to_char(ch, ""You may not raise someone to your own rank or higher.\r\n"");
   858:       return;
   859:     }
   860: "
"src\act.clan.c","864","clanedit_parse","send_to_char","You %s %s to clan rank %d.\r\npromotedemote","False","True","False","READ_OR_UNKNOWN","   864:     send_to_char(ch, ""You %s %s to clan rank %d.\r\n"",
   865:       (delta > 0) ? ""promote"" : ""demote"", GET_NAME(vict), new_rank);
   866:     send_to_char(vict, ""%s %ss you to clan rank %d.\r\n"",
   867:       GET_NAME(ch), (delta > 0) ? ""promote"" : ""demote"", new_rank);"
"src\act.clan.c","866","clanedit_parse","send_to_char","%s %ss you to clan rank %d.\r\npromotedemote","False","True","False","READ_OR_UNKNOWN","   866:     send_to_char(vict, ""%s %ss you to clan rank %d.\r\n"",
   867:       GET_NAME(ch), (delta > 0) ? ""promote"" : ""demote"", new_rank);
   868:     return;
   869:   }"
"src\act.clan.c","872","clanedit_parse","send_to_char","You are not in a clan.\r\n","False","True","True","READ_OR_UNKNOWN","   872:     send_to_char(ch, ""You are not in a clan.\r\n"");
   873:     return;
   874:   }
   875: "
"src\act.clan.c","880","clanedit_parse","snprintf","%s %s","False","False","False","READ_OR_UNKNOWN","   880:       snprintf(msg, sizeof(msg), ""%s %s"", arg1, argument);
   881:     else
   882:       snprintf(msg, sizeof(msg), ""%s"", arg1);
   883:     send_to_clan(GET_CLAN_ID(ch), msg, ch);"
"src\act.clan.c","882","clanedit_parse","snprintf","%s","False","False","False","READ_OR_UNKNOWN","   882:       snprintf(msg, sizeof(msg), ""%s"", arg1);
   883:     send_to_clan(GET_CLAN_ID(ch), msg, ch);
   884:   }
   885: }"
"src\act.clan.c","894","clan_wrap","snprintf","%s %s","False","False","False","READ_OR_UNKNOWN","   894:     snprintf(buf, sizeof(buf), ""%s %s"", prefix, argument);
   895:   else
   896:     snprintf(buf, sizeof(buf), ""%s"", prefix);
   897:   do_clan(ch, buf, cmd, subcmd);"
"src\act.clan.c","896","clan_wrap","snprintf","%s","False","False","False","READ_OR_UNKNOWN","   896:     snprintf(buf, sizeof(buf), ""%s"", prefix);
   897:   do_clan(ch, buf, cmd, subcmd);
   898: }
   899: "
"src\act.clan.c","908","clan_wrap","send_to_char","Only immortals (level 104+) may create clans right now.\r\n","True","True","True","READ_OR_UNKNOWN","   908:     send_to_char(ch, ""Only immortals (level 104+) may create clans right now.\r\n"");
   909:     return;
   910:   }
   911: "
"src\act.clan.c","913","clan_wrap","send_to_char","You are already in a clan.\r\n","False","True","True","READ_OR_UNKNOWN","   913:     send_to_char(ch, ""You are already in a clan.\r\n"");
   914:     return;
   915:   }
   916: "
"src\act.clan.c","921","clan_wrap","send_to_char","Usage: ccreate <clanname>\r\n","True","True","True","READ_OR_UNKNOWN","   921:     send_to_char(ch, ""Usage: ccreate <clanname>\r\n"");
   922:     send_to_char(ch, ""Tip: keep the base name plain; set colors later in clanedit.\r\n"");
   923:     return;
   924:   }"
"src\act.clan.c","922","clan_wrap","send_to_char","Tip: keep the base name plain; set colors later in clanedit.\r\n","True","True","True","READ_OR_UNKNOWN","   922:     send_to_char(ch, ""Tip: keep the base name plain; set colors later in clanedit.\r\n"");
   923:     return;
   924:   }
   925: "
"src\act.clan.c","927","clan_wrap","send_to_char","Invalid clan name. Use letters and numbers only (no color codes).\r\n","True","True","True","READ_OR_UNKNOWN","   927:     send_to_char(ch, ""Invalid clan name. Use letters and numbers only (no color codes).\r\n"");
   928:     send_to_char(ch, ""Tip: set the colored display with 'clanedit' after creation.\r\n"");
   929:     return;
   930:   }"
"src\act.clan.c","928","clan_wrap","send_to_char","Tip: set the colored display with 'clanedit' after creation.\r\n","False","True","True","READ_OR_UNKNOWN","   928:     send_to_char(ch, ""Tip: set the colored display with 'clanedit' after creation.\r\n"");
   929:     return;
   930:   }
   931: "
"src\act.clan.c","935","clan_wrap","send_to_char","Clan system error: could not allocate a new clan id.\r\n","False","True","True","READ_OR_UNKNOWN","   935:       send_to_char(ch, ""Clan system error: could not allocate a new clan id.\r\n"");
   936:       return;
   937:     }
   938: "
"src\act.clan.c","940","clan_wrap","send_to_char","Clan system error: could not create clan.\r\n","False","True","True","READ_OR_UNKNOWN","   940:       send_to_char(ch, ""Clan system error: could not create clan.\r\n"");
   941:       return;
   942:     }
   943: "
"src\act.clan.c","948","clan_wrap","send_to_char","Clan created.\r\n","False","True","True","READ_OR_UNKNOWN","   948:     send_to_char(ch, ""Clan created.\r\n"");
   949:   }
   950: }
   951: "
"src\act.comm.c","45","legal_communication","send_to_char","Yes, but WHAT do you want to say?\r\n","False","True","True","READ_OR_UNKNOWN","    45:     send_to_char(ch, ""Yes, but WHAT do you want to say?\r\n"");
    46:   else {
    47:     char buf[MAX_INPUT_LENGTH + 14], *msg;
    48:     struct char_data *vict;"
"src\act.comm.c","53","legal_communication","snprintf","$n	n says, '%s'","False","False","False","READ_OR_UNKNOWN","    53:     snprintf(buf, sizeof(buf), ""$n\tn says, '%s'"", argument);
    54:     msg = act(buf, FALSE, ch, 0, 0, TO_ROOM | DG_NO_TRIG);
    55: 
    56:     for (vict = world[IN_ROOM(ch)].people; vict; vict = vict->next_in_room)"
"src\act.comm.c","61","legal_communication","send_to_char","%s","False","False","False","READ_OR_UNKNOWN","    61:       send_to_char(ch, ""%s"", CONFIG_OK);
    62:     else {
    63:       sprintf(buf, ""You say, '%s'"", argument);
    64:       msg = act(buf, FALSE, ch, 0, 0, TO_CHAR | DG_NO_TRIG);"
"src\act.comm.c","63","legal_communication","sprintf","You say, '%s'","False","False","False","READ_OR_UNKNOWN","    63:       sprintf(buf, ""You say, '%s'"", argument);
    64:       msg = act(buf, FALSE, ch, 0, 0, TO_CHAR | DG_NO_TRIG);
    65:       add_history(ch, msg, HIST_SAY);
    66:     }"
"src\act.comm.c","80","legal_communication","send_to_char","But you are not a member of a group!\r\n","False","True","True","READ_OR_UNKNOWN","    80:     send_to_char(ch, ""But you are not a member of a group!\r\n"");
    81:     return;
    82:   }
    83:   if (!*argument)"
"src\act.comm.c","84","legal_communication","send_to_char","Yes, but WHAT do you want to group-say?\r\n","False","True","True","READ_OR_UNKNOWN","    84:     send_to_char(ch, ""Yes, but WHAT do you want to group-say?\r\n"");
    85:   else {
    86: 		
    87:     if (CONFIG_SPECIAL_IN_COMM && legal_communication(argument))"
"src\act.comm.c","93","legal_communication","send_to_char","%s","False","False","False","READ_OR_UNKNOWN","    93:       send_to_char(ch, ""%s"", CONFIG_OK);
    94:     else
    95:       send_to_char(ch, ""%sYou group-say, '%s'%s\r\n"", CCGRN(ch, C_NRM), argument, CCNRM(ch, C_NRM));
    96: 	}"
"src\act.comm.c","95","legal_communication","send_to_char","%sYou group-say, '%s'%s\r\n","False","True","True","READ_OR_UNKNOWN","    95:       send_to_char(ch, ""%sYou group-say, '%s'%s\r\n"", CCGRN(ch, C_NRM), argument, CCNRM(ch, C_NRM));
    96: 	}
    97: }
    98: "
"src\act.comm.c","103","perform_tell","snprintf","%s$n tells you, '%s'%s","False","False","False","READ_OR_UNKNOWN","   103:   snprintf(buf, sizeof(buf), ""%s$n tells you, '%s'%s"", CCRED(vict, C_NRM), arg, CCNRM(vict, C_NRM));
   104:   msg = act(buf, FALSE, ch, 0, vict, TO_VICT | TO_SLEEP);
   105:   add_history(vict, msg, HIST_TELL);
   106: "
